Id,Name,Description,Aliases
190122D4-B653-4051-8BF3-0BC57C782697,sketch,sketch,NULL
7DC921A3-D93B-4A9E-9403-0D0888F98430,apple,apple,NULL
AB39DDF9-97B7-466B-B88D-0D74540460FE,javascript,javascript,NULL
B4289D1C-AC87-4265-8D8D-0DD385A9B62E,slack,slack,NULL
51FD5394-639E-414C-BC36-0E6251EAED4F,mysql,mysql,NULL
03653636-6D31-48A7-AA61-108CC4EA65AB,gatling,gatling,NULL
0CE74130-A429-4200-AD5F-110660EE6BBE,doctrine,doctrine,NULL
5F9666CD-B6BB-4F39-B850-11DCF21B9E3A,dot-net,dot-net,dotnet .net
6E281EB9-31B2-4AAB-AD70-11F67A6F3476,c,c,NULL
A19B7A63-133C-4CBF-B24C-1309128D0B99,html5,html5,NULL
928AFD9C-A0AD-4410-9EC4-14974EBE6564,vuejs,vuejs,NULL
5FF84C2C-D4CC-423E-8013-1E2458EB0C91,jquery,jquery,NULL
7078D8D1-72D2-47AF-8955-1E8D690CF8DE,gimp,gimp,NULL
0B0CA542-018E-4DE7-B816-2260742AE3A1,debian,debian,NULL
1EBD62FC-4A5F-4902-B089-22C8B636323E,trello,trello,NULL
FFC56DBB-59D5-4297-9A8E-231460F61FD1,codeigniter,codeigniter,NULL
B61ED6E1-C0CA-4CFC-A9C7-284D9A8AEF2B,heroku,heroku,NULL
96ED444F-FA27-4657-BE25-2A0FF4FEA007,redux,redux,NULL
27F51566-E04B-4E85-9B08-2A291703F255,elm,elm,NULL
3775CF6C-FB09-4BC2-8FB1-2B33C0249609,redis,redis,NULL
22D68D05-899F-4226-A6A5-2F1D84A64E7D,oracle,oracle,NULL
96ECDD3F-2810-4031-ABC0-3095C228346E,cucumber,cucumber,NULL
D0724706-D995-47ED-B818-30B78143C279,meteor,meteor,NULL
70B74987-C5F8-4943-B2F9-365DA33010CE,grunt,grunt,NULL
A3BBA16B-C369-4B19-BA86-368FEE29D47A,d3js,d3js,NULL
FE0A2C8D-3DBA-46CD-B4F0-38B55EFBAF6A,mongodb,mongodb,NULL
FD0E3988-275B-41D0-B0F0-3ABCEDCF6EBE,inkscape,inkscape,NULL
4F98619F-307B-4BAC-A729-3B9D26BC5D5D,photoshop,photoshop,NULL
7721651E-968B-45DC-B520-3CCCF9082894,bower,bower,NULL
DB46DB6E-4939-4557-A95B-3D87670E1E00,devicon,devicon,NULL
5F509A51-5A97-40C0-B26A-404AF936338A,vim,vim,NULL
B6908480-2E67-4314-91C3-418FB9DEEB56,krakenjs,krakenjs,NULL
0E51821F-81F9-4762-9FAB-42C301355FC0,csharp,csharp,c# c-sharp
EF9B0644-DFA2-45F0-9EAF-42D18E9456C4,scala,scala,NULL
41D07304-05F9-49BA-8D71-42EEAE9EF046,mocha,mocha,NULL
0549E8F5-010A-46B7-A219-449E78C3A3AD,vagrant,vagrant,NULL
F250E848-4ED6-4A62-9FDB-475AC7C47EFE,ceylon,ceylon,NULL
B6D45E5F-91A5-45C9-9775-483BED679CD5,groovy,groovy,NULL
D4180F87-4FA0-4265-869E-49D33A875C37,rails,rails,NULL
7541C644-7724-4A20-A1A0-4A00D807D35F,safari,safari,NULL
D9A9B223-5E3C-4744-8821-4B66543A83D6,yii,yii,NULL
CBD0D876-B32F-4FDF-9A1E-525EAC3F5FB8,rust,rust,NULL
6A1F2201-EC83-4460-8AA3-529A8D0D16E2,nodejs,nodejs,NULL
A3F8F762-5C32-432A-AE17-579DC8F3E702,jetbrains,jetbrains,NULL
D918E910-A560-4BB3-B0A3-58BC4AE75371,codepen,codepen,NULL
5E922D45-0212-4BC4-A27F-5BC91AD541BD,symfony,symfony,NULL
23105927-767E-43FC-846F-5CD821147452,twitter,twitter,NULL
E00E625F-C49A-4EC5-B604-5DBCD58C4AFC,webstorm,webstorm,NULL
806AAF5C-3F54-4BC8-B48F-6099B3F7BAE6,ember,ember,NULL
6B876AA6-A822-4E3D-8779-62091F5AEC10,ssh,ssh,NULL
29C2F747-8AAB-4B94-977B-62F90FCB4DD4,backbonejs,backbonejs,NULL
339CC92B-3132-4D71-A313-659E60DD0321,appcelerator,appcelerator,NULL
B1AF644B-E4C7-4AC5-99D7-65E022D57D33,protractor,protractor,NULL
33AE0C2F-B61F-4092-949D-684537E9309D,ie10,ie10,NULL
CF096CC9-E2AE-405D-B4B3-6A3689768B4D,nginx,nginx,NULL
D3499F08-627E-413A-983B-6B2C5C514B08,go,go,NULL
2FA69D81-61CD-4D18-A45D-6C7B6406DC74,atom,atom,NULL
4A094355-2632-4A92-A848-6D731AAAA6D2,github,github,NULL
DFC919FC-17B3-408B-A62B-6F9B3BD96E1A,foundation,foundation,NULL
F4759675-EFCC-462E-9D86-70B3DA0C2619,laravel,laravel,NULL
2BC6249C-E810-43E7-99D6-714D111BF36E,apache,apache,NULL
FFF24DC7-A571-4833-B5B1-73736DF2158C,intellij,intellij,NULL
22D73140-7888-4CED-B626-76BC76DD2E06,gulp,gulp,NULL
44E7A99E-50DD-4844-9200-7731CA2E5B4B,erlang,erlang,NULL
EE676129-53E0-4E26-9D98-7976E7571424,php,php,NULL
C7005061-B3F5-4B7B-B576-7B1E04CBA93A,postgresql,postgresql,NULL
65767354-B3D7-470C-8A87-7BDD57E456D5,gitlab,gitlab,NULL
8A34AD22-72E1-4FA4-AE39-7EC8818C8B05,docker,docker,NULL
7FC11CD7-D21A-43A2-86EB-7F42F03552B8,phpstorm,phpstorm,NULL
BBFB7673-E713-4D78-85A1-897BA8F4D578,grails,grails,NULL
5E67CA90-7A82-4CCA-B8F6-8A983805DFB2,git,git,NULL
A412230E-C957-4A36-B5FB-8BF794FC34B2,drupal,drupal,NULL
1AEB5701-983A-4808-BFD8-8DD5B7BB4208,pycharm,pycharm,NULL
8E0F5D6B-A242-4484-A46C-91D080CAA407,npm,npm,NULL
44AC1B3C-997D-40FD-A251-95A97387C126,ubuntu,ubuntu,NULL
B43E414D-4EE7-43E0-AF7C-97714E27B356,ionic,ionic,NULL
1CEE45BF-0B58-466C-8BFC-97AB355DFF8B,visualstudio,visualstudio,NULL
2DE70E7B-7AB0-4328-ADF9-9930B7D05FBA,sass,sass,NULL
30699488-18AF-4C9C-AC4A-9BD3FCF46F28,clojurescript,clojurescript,NULL
9AABFDB3-3116-42B9-97C0-9C5C9FFEF201,django,django,NULL
B1BA5D04-D87C-40A4-81D5-A0058A3DC279,linkedin,linkedin,NULL
96AB29EF-C5DD-4F27-B829-A1252EE4094F,swift,swift,NULL
4B57D14C-66EF-4769-B271-A4E4C50DE8D8,couchdb,couchdb,NULL
09AB1C7E-6CA4-4DEC-B926-A595216A89E9,sourcetree,sourcetree,NULL
9309805C-B5F0-4F71-B6DC-A8C22A56296E,jeet,jeet,NULL
B25B98CA-C4DF-4C55-99D9-A9CDD7D4DAFB,haskell,haskell,NULL
CE0B63DE-97F0-471F-8F80-AB19C5507FE6,stylus,stylus,NULL
5A263E77-8D96-471C-952B-ABBCB9C056C1,ruby,ruby,NULL
7478F320-C57C-460B-94A2-ABBFF4E5F7BF,clojure,clojure,NULL
5F8EF9EB-7547-4563-A296-ABD8DCE728C9,firefox,firefox,NULL
820F4C43-F664-4AE0-B719-AC157FBD9FE7,zend,zend,NULL
3AB45025-F022-4F92-B4D7-AE2B77CE9418,css3,css3,NULL
D0472394-D1C5-412C-BA9B-B06C998EDC4B,jasmine,jasmine,NULL
36CB08BB-86F6-4716-A78A-B19B32681526,cplusplus,cplusplus,c++ cpp
DC2F2670-4020-4C66-A805-B5D10C49BE25,react,react,NULL
22D3E8AC-2030-43C0-BC85-B75165CB0004,java,java,NULL
42060833-E566-4E7C-9923-B980D37607E4,wordpress,wordpress,NULL
D3833D31-3A99-49A7-9E95-BAE7628EEA39,travis,travis,NULL
11D4F974-50E5-46CB-9BB7-BF2B5E6CE80F,rubymine,rubymine,NULL
CC231D35-0C39-4329-9C13-BF822DD4823A,sequelize,sequelize,NULL
90B1DCC5-D49B-40B1-8F50-C0E2005F2B8C,bitbucket,bitbucket,NULL
33645DE5-7C63-47A2-A8D9-C12F761F307B,webpack,webpack,NULL
B5390AA8-0A18-48B1-9FF1-C363B9B8C69C,yunohost,yunohost,NULL
5C240011-BD3C-42F6-981D-C3EF7195E473,bootstrap,bootstrap,NULL
0A2EDAB3-1629-4594-AFFB-C6034A8DCEDC,confluence,confluence,NULL
65882E54-2F3F-43FA-996B-C66509F851FC,yarn,yarn,NULL
7CB3443B-B787-4B02-813B-CBF340D3B861,typescript,typescript,NULL
EE63BFB4-4D8E-49EF-877A-CC624C623121,google,google,NULL
84F3E120-099D-4A71-8A1E-CE3A27D6D89C,electron,electron,NULL
8B46CEF7-D82A-4090-9FF2-CF2425F546C3,amazonwebservices,amazonwebservices,NULL
498666EA-11B9-4750-A443-D11448099EC0,gradle,gradle,NULL
216AC31F-5D9B-4BCD-946D-D218EDACEDB9,handlebars,handlebars,NULL
7607FC42-0097-43C4-A52C-D50E4C2651D4,android,android,NULL
DD703861-3884-44B4-B88D-D9FBF44A5F1D,windows8,windows8,NULL
E25E48B1-0158-45E4-BEFD-DD36DE0434FB,moodle,moodle,NULL
2166E59A-D35D-459E-B641-DF4B5D98E216,linux,linux,NULL
1EFF11BC-7728-4B6F-93A4-E0A80A9B794A,babel,babel,NULL
6CC117F8-26CD-4382-A4A4-E468DF57DD52,facebook,facebook,NULL
5F60D39A-EB86-477C-A795-E695DBB88851,nodewebkit,nodewebkit,NULL
DAB08D27-B897-4147-897A-EA4120816566,angularjs,angularjs,NULL
B8D3DF03-0AE2-4461-BFFF-EC698955EC0B,express,express,NULL
49776481-E2FF-4042-A874-EF98ECFECA45,cakephp,cakephp,NULL
ED2E9D9D-0A8E-4867-A474-F11064C38E95,behance,behance,NULL
3519646A-6271-4063-B107-F15A7E73C146,less,less,NULL
75F43C0B-CDEA-448C-8C43-F4D926BB4EDD,illustrator,illustrator,NULL
43A56DD0-7D65-4A5F-BC2B-F5DC7587857B,redhat,redhat,NULL
D44CFF5D-4880-40F8-B568-F864D5012B31,python,python,NULL
D14EACB1-3F2D-419A-B687-F8AC45225C35,coffeescript,coffeescript,NULL
E38D1EDE-55FE-466E-A84D-FB1D1EDA6FDD,tomcat,tomcat,NULL
14588D6E-C273-4F5B-9084-FD02191BE8B2,chrome,chrome,NULL
